URL,80
analytics.docip.org,X,
beta.docip.org,X,
cendoc.docip.org,X,
cloud.docip.org,X,
dns.docip.org,X,
doc.docip.org,X,
docip.org,X,
mvw.docip.org,X,
ns.docip.org,X,
old.docip.org,X,
sectec.docip.org,X,
storage.docip.org,X,
switzerlandwww.docip.org,X,
training.docip.org,X,
www.docip.org,X,
