URL,80
iflowf-sg.browser.oppomobile.com,X,
iflow-th.browser.oppomobile.com,X,
iflow-vn.browser.oppomobile.com,X,
if.magzine.oppomobile.com,X,
if-sg.browser.oppomobile.com,X,
if-sg.magzine.oppomobile.com,X,
if.theme.oppomobile.com,X,
igame2.oppomobile.com,X,
igame.oppomobile.com,X,
igslb.cdo.oppomobile.com,X,
i.instant.oppomobile.com,X,
ilogin.oppomobile.com,X,
i.magzine.oppomobile.com,X,
imagzine.oppomobile.com,X,
img.oppomobile.com,X,
inactivity.cdo.oppomobile.com,X,
in-activity.oppomobile.com,X,
inapi.open.oppomobile.com,X,
inapi.store.oppomobile.com,X,
incdopic.oppomobile.com,X,
inepoch.cdo.oppomobile.com,X,
in-epoch.oppomobile.com,X,
in-game.oppomobile.com,X,
in-gamesdk.oppomobile.com,X,
in.push.oppomobile.com,X,
*.instant.oppomobile.com,X,
instant.oppomobile.com,X,
in-store.oppomobile.com,X,
instructionsfs1.oppomobile.com,X,
instructionsfs2.oppomobile.com,X,
in-theme.oppomobile.com,X,
intlapi.cdo.oppomobile.com,X,
intlapi.store.oppomobile.com,X,
intldl.theme.oppomobile.com,X,
intl-feedback.oppomobile.com,X,
intl.feedback.oppomobile.com,X,
intlpic.cdo.oppomobile.com,X,
i.oau.foreign.oppomobile.com,X,
i.ocloud.oppomobile.com,X,
iopen.cdo.oppomobile.com,X,
i.open.game.oppomobile.com,X,
i.oppo.store.oppomobile.com,X,
*.iot.oppomobile.com,X,
iot.oppomobile.com,X,
i-pre.search.oppomobile.com,X,
isdk.oppomobile.com,X,
i.search.oppomobile.com,X,
isettle.oppomobile.com,X,
i-sg01a.ocloud.oppomobile.com,X,
istoreid.oppomobile.com,X,
istorein.oppomobile.com,X,
istore.oppomobile.com,X,
i-th.browser.oppomobile.com,X,
i.theme.oppomobile.com,X,
iucf.oppomobile.com,X,
iuc.oppomobile.com,X,
i.udata.oppomobile.com,X,
i.video.oppomobile.com,X,
i-vn.browser.oppomobile.com,X,
iweather.oppomobile.com,X,
jfadmin.oppomobile.com,X,
jf.oppomobile.com,X,
jits.open.oppomobile.com,X,
kernellog.browser.oppomobile.com,X,
kernellogf.browser.oppomobile.com,X,
kernellogf-sg.browser.oppomobile.com,X,
location.apps.oppomobile.com,X,
logistics.apps.oppomobile.com,X,
lux-whittard-pro--coinbase.webproxy.id-store.oppomobile.com,X,
*.magzine.oppomobile.com,X,
magzine.oppomobile.com,X,
message.pull.oppomobile.com,X,
m.shopping.oppomobile.com,X,
ms.search.oppomobile.com,X,
m.store.oppomobile.com,X,
mstore.oppomobile.com,X,
m.uc.oppomobile.com,X,
muc.oppomobile.com,X,
music.oppomobile.com,X,
my-epoch.oppomobile.com,X,
my-game.oppomobile.com,X,
my-store.oppomobile.com,X,
nativepayf.oppomobile.com,X,
nearby.dc.oppomobile.com,X,
news.apps.oppomobile.com,X,
news.oppomobile.com,X,
numberarea.oppomobile.com,X,
oau.foreign.oppomobile.com,X,
*.ocloud.oppomobile.com,X,
ocloud.oppomobile.com,X,
ocrocloud.oppomobile.com,X,
odc22.oppomobile.com,X,
odc23.oppomobile.com,X,
oms.oppomobile.com,X,
openfs-intl.oppomobile.com,X,
openfs.oppomobile.com,X,
*.open.oppomobile.com,X,
open.oppomobile.com,X,
*.oppomobile.com,X,
oppomobile.com,X,
opponews.oppomobile.com,X,
opsapi.store.oppomobile.com,X,
ostorage-cn01a.ocloud.oppomobile.com,X,
ostorage-in01a.ocloud.oppomobile.com,X,
pcmigrateio50a.ocloud.oppomobile.com,X,
